epoch,n_pools,top4_picks,n_profitable_picks,precision,epoch_base_rate,oracle_precision
2026-W09,276,"USDC/cbBTC, WETH/USDC, USDC/BRZ, WETH/cbBTC",4,1.0,0.6159,1.0
2026-W10,270,"USDC/cbBTC, USDC/BRZ, IDRX/USDC, IDRX/USDC",4,1.0,0.5481,1.0
2026-W11,267,"USDC/cbBTC, IDRX/USDC, WETH/cbBTC, WETH/USDC",4,1.0,0.5468,0.75
2026-W12,265,"USDC/cbBTC, IDRX/USDC, USDC/BRZ, WETH/cbBTC",4,1.0,0.5057,1.0
2026-W13,262,"USDC/cbBTC, IDRX/USDC, USDC/BRZ, WETH/cbBTC",4,1.0,0.4618,0.75
2026-W14,267,"USDC/cbBTC, USDC/BRZ, IDRX/USDC, WETH/USDC",4,1.0,0.5019,1.0
2026-W15,264,"USDC/cbBTC, USDC/BRZ, WETH/USDC, WETH/cbBTC",4,1.0,0.5455,1.0
2026-W16,270,"WETH/USDbC, WETH/USDC, USDC/cbBTC, USDC/cbBTC",4,1.0,0.5889,1.0
2026-W17,265,"USDC/cbBTC, USDC/cbBTC, USDC/BRZ, WETH/cbBTC",4,1.0,0.566,1.0
2026-W18,260,"USDC/cbBTC, WETH/USDC, USDC/cbBTC, USDC/BRZ",4,1.0,0.4885,1.0
2026-W19,263,"USDC/cbBTC, WETH/USDC, USDC/cbBTC, KRWT/USDC",4,1.0,0.5856,1.0
2026-W20,265,"USDC/BRZ, WETH/USDC, USDC/cbBTC, USDC/cbBTC",4,1.0,0.5509,1.0
2026-W21,262,"USDC/cbBTC, WETH/USDC, USDC/cbBTC, KRWT/USDC",4,1.0,0.5878,1.0
2026-W22,261,"USDC/cbBTC, USDC/cbBTC, WETH/USDC, VIRTUAL/WETH",4,1.0,0.6054,1.0
2026-W23,257,"USDC/cbBTC, USDC/cbBTC, WETH/USDC, WETH/cbBTC",4,1.0,0.6459,1.0
